Guest_Star_Name,Season,Episode_Number,Audience_Cheering
Adam Goldberg,2,19,n
Alec Baldwin,8,18,n
Anna Faris,9,11,n
Billy Crystal,3,24,y
Ben Stiller,3,22,n
Bob Balaban,5,13,n
Brad Pitt,8,9,y
Brenda Vaccaro,1,13,n
Brooke Shields,2,12,y
Bruce Willis,6,21,y
Charlie Sheen,2,23,n
Charlton Heston,4,14,n
Chris Isaak,2,12,n
Christina Applegate,9,8,y
Danny DeVito,10,11,y
Denise Richards,7,19,n
Dina Meyer,3,20,n
Elle Macpherson,6,7,n
Gary Oldman,7,23,n
George Clooney,1,16,y
Hank Azaria,1,10,n
Isabella Rossellini,3,5,y
Jill Goodacre,1,7,n
Jeff Goldblum,9,15,y
Jean-Claude Van Damme,2,12,n
Jon Favreau,3,18,n
Julia Roberts,2,12,n
Kristin Davis,7,7,n
Lea Thompson,2,6,n
Marlo Thomas,2,11,y
Melissa George,9,12,n
Noah Wyle,1,16,y
Ralph Lauren,6,8,n
Rebecca Romijn,4,6,n
Reese Witherspoon,6,13,n
Robert Costanzo,1,13,n
Robin Williams,3,24,y
Sarah Ferguson,4,23,y
Susan Sarandon,7,15,n
Sean Penn,8,6,n
Selma Blair,9,10,n
Steve Zahn,2,4,n
Winona Ryder,7,20,n
